Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{E0990B14-E7E6-4424-9352-8E6436137892},36000,1995-05-19 00:00,F,N,L,WOODBRIDGE,SUFFOLK COASTAL,SUFFOLK,A,A
{C0FDBF7D-3E3B-430E-BE6D-8E643D0F74A8},50000,1995-05-03 00:00,T,N,F,SOUTHAMPTON,SOUTHAMPTON,SOUTHAMPTON,A,A
{24BAB00E-8C3F-4646-81B0-8E645243065D},66500,1995-09-15 00:00,T,N,F,LONDON,SOUTHWARK,GREATER LONDON,A,A
{6E03726B-6A4B-41C0-BCD0-8E6459042D1C},58250,1995-12-08 00:00,S,N,F,EASTBOURNE,EASTBOURNE,EAST SUSSEX,A,A
{2AA15888-B6C8-4301-85CE-8E64611141A2},50000,1995-04-12 00:00,S,N,F,CHESTER LE STREET,CHESTER-LE-STREET,DURHAM,A,A
{1339FC6C-A5A1-4DEB-A7D2-83B6E067401E},32000,1995-10-20 00:00,F,N,L,LETCHWORTH GARDEN CITY,NORTH HERTFORDSHIRE,HERTFORDSHIRE,A,A
{C39E1FCB-8FF2-4EB7-B7A5-83B6E6D44BB9},45700,1995-11-10 00:00,T,N,F,FOLKESTONE,SHEPWAY,KENT,A,A
{91A8DD8D-3874-4532-9612-83B6EBB7F6B3},17000,1995-06-28 00:00,S,N,F,DONCASTER,BASSETLAW,NOTTINGHAMSHIRE,A,A
{3A5DA88C-F0CC-44BD-9542-83B7065A8EC8},74000,1995-08-18 00:00,D,N,F,CHESTER,ALYN AND DEESIDE,CLWYD,A,A
{B8FAE8EA-350D-45A2-AE90-83B71485C735},39500,1995-01-13 00:00,S,N,F,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,A,A
{3639489A-69D0-4872-A19D-91F63E5CA203},200500,1995-11-20 00:00,D,N,F,LONDON,LEWISHAM,GREATER LONDON,A,A
{C243A331-A8F8-4740-A7D3-91F6545ADA79},76500,1995-04-28 00:00,T,N,F,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A
{F238A73D-8004-48B1-87F3-873969E4B3D7},38000,1995-11-02 00:00,F,N,L,SOUTHAMPTON,TEST VALLEY,HAMPSHIRE,A,A
{25413DC3-A051-4961-8B63-8739805763B7},49995,1995-04-10 00:00,S,Y,F,BURRY PORT,LLANELLI,DYFED,A,A
{18743268-298E-4F51-B635-8739A67CA51A},225000,1995-07-28 00:00,D,N,F,NOTTINGHAM,NOTTINGHAM,NOTTINGHAMSHIRE,A,A
{DA71B084-7199-4464-A136-8739A6B257CA},12000,1995-08-14 00:00,T,N,F,MAESTEG,OGWR,MID GLAMORGAN,A,A
{0F97BE9C-AE83-4B6C-8370-8E647A5A25FC},110000,1995-01-12 00:00,S,N,F,TEDDINGTON,RICHMOND UPON THAMES,GREATER LONDON,A,A
{9099F8FE-E978-405F-822F-8E647B951EB6},33500,1995-11-01 00:00,T,N,F,BRADFORD,BRADFORD,WEST YORKSHIRE,A,A
{28826C57-C241-453A-9766-8E64A4A8545F},28000,1995-10-27 00:00,S,N,F,WEDNESBURY,WALSALL,WEST MIDLANDS,A,A
{E82E3913-161E-4842-93D7-83B73DBDB107},32000,1995-12-15 00:00,T,N,F,DARWEN,BLACKBURN,LANCASHIRE,A,A
{73B86192-7899-4BA2-9CD4-83B7538E6724},58000,1995-09-29 00:00,S,N,F,POOLE,POOLE,POOLE,A,A
{C42B9D03-4748-45FE-9EE9-83B75D8F852D},42500,1995-10-27 00:00,T,N,L,TADLEY,BASINGSTOKE AND DEANE,HAMPSHIRE,A,A
{793AC141-840C-49EB-B302-91F67C8C4C71},33250,1995-03-03 00:00,D,N,F,HEYWOOD,ROCHDALE,GREATER MANCHESTER,A,A
{7790C253-93CD-4DEE-84AA-91F685900B33},43000,1995-01-24 00:00,S,N,F,WAKEFIELD,WAKEFIELD,WEST YORKSHIRE,A,A
{8600597D-2011-4E8A-89D8-91F68EA30AAF},103540,1995-12-21 00:00,F,Y,L,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A
{364C5494-2510-4926-A91F-91F69751B84A},116250,1995-09-01 00:00,D,Y,F,CRICKHOWELL,BRECKNOCK,POWYS,A,A
{5D199D1C-E9BF-4C5B-89AE-91F6ACEEFB90},94995,1995-06-30 00:00,D,Y,F,BRAINTREE,BRAINTREE,ESSEX,A,A
{06BB6614-E8FA-4004-8541-8AC54618E55D},51000,1995-08-09 00:00,S,N,F,RIPON,HARROGATE,NORTH YORKSHIRE,A,A
{5DCFB3C7-97A1-4044-BAF4-8AC551260A98},14000,1995-06-16 00:00,T,N,F,BURNLEY,BURNLEY,LANCASHIRE,A,A
{557E6D14-882E-44D2-A5A0-8AC55F07F600},66500,1995-07-28 00:00,S,N,F,EDGWARE,BARNET,GREATER LONDON,A,A
{E90519A1-F7AB-4EAE-959D-8AC55F556AD1},10500,1995-10-24 00:00,F,N,L,LIVERPOOL,LIVERPOOL,MERSEYSIDE,A,A
{D2490883-712E-4EFD-810C-8AC564CDB96D},57000,1995-01-27 00:00,D,N,F,MOUNTAIN ASH,CYNON VALLEY,MID GLAMORGAN,A,A
{118BFD76-D73F-4F76-9D76-8AC56F9DFCB0},83000,1995-11-10 00:00,S,N,F,CRAWLEY,MID SUSSEX,WEST SUSSEX,A,A
{B5F145FC-FB4E-41D9-A941-8739BAED309E},142500,1995-11-30 00:00,D,N,F,ALTON,EAST HAMPSHIRE,HAMPSHIRE,A,A
{655A9EF7-D883-4329-A2B2-8739D0BB7C84},58500,1995-08-25 00:00,T,N,F,NEWCASTLE,NEWCASTLE-UNDER-LYME,STAFFORDSHIRE,A,A
{38535016-7CBD-46F1-89F3-8E64C94DFE6A},71000,1995-06-16 00:00,D,Y,F,BOURNE,SOUTH KESTEVEN,LINCOLNSHIRE,A,A
{5272C74A-92E3-45A5-9BA2-8E64DA0A1FCC},51000,1995-09-29 00:00,T,N,F,ST. IVES,PENWITH,CORNWALL,A,A
{65F4D731-EFC9-420C-A294-83B79FF4950D},67000,1995-04-21 00:00,D,N,F,KETTERING,KETTERING,NORTHAMPTONSHIRE,A,A
{075771B3-5DD8-4434-A8C1-91F6CEB3531A},29950,1995-01-27 00:00,F,N,L,NORWICH,NORWICH,NORFOLK,A,A
{73D59523-B702-4F08-B16A-91F6D6684864},56000,1995-09-01 00:00,S,N,F,ANDOVER,TEST VALLEY,HAMPSHIRE,A,A
{1B0AED25-50B8-4F2B-8062-91F6D822878F},55000,1995-07-24 00:00,S,N,L,BRIDGEND,OGWR,MID GLAMORGAN,A,A
{DBB92F8F-7964-4223-BF96-8AC594FD60EB},98000,1995-08-16 00:00,D,N,F,CLEETHORPES,CLEETHORPES,HUMBERSIDE,A,A
{189FBF33-2111-41E2-ACCD-8AC5A0E0AE8F},20000,1995-10-27 00:00,T,N,F,BURTON-ON-TRENT,EAST STAFFORDSHIRE,STAFFORDSHIRE,A,A
{8911FC24-DAE5-4598-B7A5-8AC5AECAA52A},52000,1995-05-25 00:00,T,N,F,GOSPORT,GOSPORT,HAMPSHIRE,A,A
{47DCEE64-E22B-4BBD-8C63-8739F8222B85},38500,1995-02-27 00:00,T,N,F,DEWSBURY,KIRKLEES,WEST YORKSHIRE,A,A
{D5142735-627E-4639-BEF6-8739FE0B0D72},36950,1995-11-30 00:00,T,Y,L,MANCHESTER,MANCHESTER,GREATER MANCHESTER,A,A
{C0B5B10A-D4BB-4B81-9FA2-873A0CC96EDF},66000,1995-03-17 00:00,D,N,F,WAKEFIELD,WAKEFIELD,WEST YORKSHIRE,A,A
{B5430F40-F7AB-43CB-89BA-873A0F35EE06},32000,1995-03-31 00:00,T,N,F,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
{2080E3F2-E936-40D2-A4F9-873A2881D81B},111000,1995-08-17 00:00,D,N,F,LONGFIELD,SEVENOAKS,KENT,A,A
{9A5EDB3E-5933-4939-93FB-8E64F6C2EA9B},183000,1995-05-30 00:00,S,N,F,LONDON,HACKNEY,GREATER LONDON,A,A
{FE4859D7-1F23-4672-BB7D-8E64FB334F48},35000,1995-09-29 00:00,S,N,F,RUSHDEN,EAST NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,A,A
{2D9A2FA5-935E-42A5-91F9-8E64FF528A0F},57500,1995-03-31 00:00,S,N,F,DAVENTRY,DAVENTRY,NORTHAMPTONSHIRE,A,A
{B7418647-C1DA-47F3-900D-8E65016F9505},29750,1995-06-30 00:00,T,N,L,NEWTON ABBOT,TEIGNBRIDGE,DEVON,A,A
{413113F5-4E8F-4335-A71C-8E652FDF7CF5},25500,1995-11-30 00:00,S,N,F,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{A577E1CE-1E7F-48A7-AF1A-83B7CE41068C},125000,1995-01-17 00:00,D,N,F,PENZANCE,PENWITH,CORNWALL,A,A
{E82848A5-1780-4D6F-AF4F-83B7D3D0795E},47500,1995-06-30 00:00,S,N,F,LIVERPOOL,KNOWSLEY,MERSEYSIDE,A,A
{C62AC90F-CA46-4767-B995-83B7E837CDE1},35000,1995-12-01 00:00,S,N,F,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,A
{19719102-48B3-405B-B1F8-83B7F73DD689},26500,1995-09-22 00:00,T,N,F,RIPLEY,AMBER VALLEY,DERBYSHIRE,A,A
{EF1E6035-243E-4A71-957E-91F6E670645F},59500,1995-07-28 00:00,T,N,F,LONGFIELD,SEVENOAKS,KENT,A,A
{5B71326C-4F5F-48DC-BC21-91F6E807D94B},87950,1995-11-30 00:00,F,N,L,LONDON,GREENWICH,GREATER LONDON,A,A
{E09C2060-EDE3-4219-9A9C-91F7057BB2F8},217500,1995-12-08 00:00,D,N,F,ROSS-ON-WYE,SOUTH HEREFORDSHIRE,HEREFORD AND WORCESTER,A,A
{92B11D85-2492-47A9-9542-91F7185B0D9E},64000,1995-07-31 00:00,S,N,F,WATFORD,THREE RIVERS,HERTFORDSHIRE,A,A
{65927E39-9104-4FCC-B7AF-8AC5CA92D129},43500,1995-02-10 00:00,F,N,L,BOREHAMWOOD,HERTSMERE,HERTFORDSHIRE,A,A
{EBDF16FC-1416-481C-A794-8AC5D6547C0B},29950,1995-07-26 00:00,F,Y,L,WADEBRIDGE,NORTH CORNWALL,CORNWALL,A,A
{46759517-83DB-41BC-A259-873A459BD17A},115000,1995-02-28 00:00,F,N,L,CHICHESTER,CHICHESTER,WEST SUSSEX,A,A
{2185C17C-5C28-4FA0-B95F-873A4E237190},37000,1995-06-30 00:00,T,N,L,MANCHESTER,BURY,GREATER MANCHESTER,A,A
{0FEF97B1-AB72-4E31-A458-873A5540AE3C},56000,1995-04-28 00:00,S,Y,F,BICESTER,CHERWELL,OXFORDSHIRE,A,A
{73A04D3D-445E-4CF1-A219-873A63C686F8},66750,1995-07-14 00:00,S,N,L,SOLIHULL,SOLIHULL,WEST MIDLANDS,A,A
{4E2504C3-F95C-456A-BA78-8E653CC00275},34000,1995-01-16 00:00,T,N,F,NORTHAMPTON,NORTHAMPTON,NORTHAMPTONSHIRE,A,A
{559E8EA5-8676-4410-80AF-8E65597FD282},81500,1995-01-20 00:00,T,N,F,MELTON CONSTABLE,NORTH NORFOLK,NORFOLK,A,A
{139A371D-F62E-426F-AFDE-8E656E3E1493},51500,1995-04-07 00:00,S,N,F,WITHAM,BRAINTREE,ESSEX,A,A
{20AF842B-5DC2-4537-831F-8E657EBD067B},64750,1995-05-26 00:00,S,N,F,WITHAM,BRAINTREE,ESSEX,A,A
{F9059A48-F872-4B00-A7C4-83B8088E8B17},46000,1995-11-10 00:00,F,N,L,READING,READING,READING,A,A
{3E12AA08-03E0-4DC5-A7CA-83B808C0E217},29000,1995-03-31 00:00,T,N,F,KETTERING,KETTERING,NORTHAMPTONSHIRE,A,A
{E93A908B-F8F0-49B1-AB61-83B81B16A552},90000,1995-05-12 00:00,S,N,F,ILKLEY,BRADFORD,WEST YORKSHIRE,A,A
{5C2DF27C-47F3-4BF5-8AE0-83B82ADCC1DB},160000,1995-07-21 00:00,D,N,F,SANDBACH,CONGLETON,CHESHIRE,A,A
{D0EE39A8-B8B6-4B8C-950B-83B83D5659D9},68000,1995-10-17 00:00,D,N,F,NEWENT,FOREST OF DEAN,GLOUCESTERSHIRE,A,A
