Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{C4B29D70-370B-4764-B8C4-4E13D9D54B6D},59950,1995-06-30 00:00,T,Y,L,MANCHESTER,TAMESIDE,GREATER MANCHESTER,A,A
{D0EF2E82-1E2D-41BE-8D9D-4E13E13B29AE},28500,1995-07-07 00:00,T,N,F,GRIMSBY,GREAT GRIMSBY,HUMBERSIDE,A,A
{1F1B4B2E-7642-436D-8CEA-5C51F1EC6690},44000,1995-07-24 00:00,D,N,F,PRESTATYN,RHUDDLAN,CLWYD,A,A
{BF38072A-0987-4D22-BAF7-5C51FBE96BA7},57950,1995-03-27 00:00,D,Y,F,HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{23B8BB88-14D1-4B6F-97EE-5548D1607801},21500,1995-08-25 00:00,D,N,F,AMLWCH,YNYS MON-ISLE OF ANGLESEY,GWYNEDD,A,A
{3FF6130B-DC09-4F15-8D68-5548D4C30099},42000,1995-07-26 00:00,T,N,F,WORTHING,WORTHING,WEST SUSSEX,A,A
{5808CCA0-2484-4C8A-8B28-5548DC9969F2},42000,1995-07-28 00:00,S,N,F,ASHFORD,ASHFORD,KENT,A,A
{165C4A23-60B1-4233-AA81-5548FA0F0472},18000,1995-08-25 00:00,T,N,F,CROOK,WEAR VALLEY,DURHAM,A,A
{CE50D821-B005-43FC-B27B-5548FC373A45},135000,1995-03-13 00:00,D,N,F,WITNEY,WEST OXFORDSHIRE,OXFORDSHIRE,A,A
{2B852EAB-EC2D-4D48-8379-58BC09AD90E1},48000,1995-03-17 00:00,S,N,F,NOTTINGHAM,NOTTINGHAM,NOTTINGHAMSHIRE,A,A
{B9F4A1FF-D39A-4BBD-997C-58BC406FC997},38500,1995-04-28 00:00,S,N,F,MALDON,MALDON,ESSEX,A,A
{38C5B249-1C5E-4495-8B78-4E13F816BD83},79950,1995-09-08 00:00,F,N,L,LONDON,CAMDEN,GREATER LONDON,A,A
{7EA04E58-72AF-4C2E-B48D-4E13FEBC3EAD},131207,1995-01-06 00:00,D,N,F,MANSFIELD,MANSFIELD,NOTTINGHAMSHIRE,A,A
{0DADDC27-4028-4987-A315-4E140E0A83B2},23000,1995-02-28 00:00,T,N,F,SWANSEA,SWANSEA,SWANSEA,A,A
{E562139D-0900-40E4-9610-5C5221B9E0EF},47000,1995-08-31 00:00,T,N,F,GOSPORT,GOSPORT,HAMPSHIRE,A,A
{2905FDB7-BD2E-4DB2-AAE0-5C523B252FE2},107000,1995-10-02 00:00,T,N,F,EMSWORTH,HAVANT,HAMPSHIRE,A,A
{80066A73-E44F-4369-8EB4-5C52403AB170},64500,1995-03-17 00:00,S,N,F,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
{F2231B31-7E15-421B-AB57-5C5243E9C53F},38995,1995-04-03 00:00,T,Y,F,CHESTERFIELD,CHESTERFIELD,DERBYSHIRE,A,A
